Model,TN,FP,FN,TP,ROC-AUC,Accuracy,Precision (PD),Recall/Sensitivity (PD),Specificity,F1 (PD),Balanced Accuracy
DenseNet 169,344,14,8,841,0.9973,0.9818,0.9836,0.9906,0.9609,0.9871,0.9757
EfficientNet B3 (torchvision),352,17,6,832,0.9972,0.9809,0.98,0.9928,0.9539,0.9864,0.9734
ResNet 101,349,14,9,835,0.9966,0.9809,0.9835,0.9893,0.9614,0.9864,0.9754
DenseNet 201,346,12,11,838,0.9946,0.9809,0.9859,0.987,0.9665,0.9865,0.9768
DenseNet 161,348,10,14,835,0.997,0.9801,0.9882,0.9835,0.9721,0.9858,0.9778
ResNet 34,347,11,16,833,0.9956,0.9776,0.987,0.9812,0.9693,0.9841,0.9752
ResNet 152,348,10,20,829,0.9973,0.9751,0.9881,0.9764,0.9721,0.9822,0.9743
EfficientNet B0 (torchvision),348,10,25,824,0.9933,0.971,0.988,0.9706,0.9721,0.9792,0.9713
DenseNet 121,345,13,24,825,0.995,0.9693,0.9845,0.9717,0.9637,0.9781,0.9677
MONAI DenseNet 121,332,26,13,836,0.9934,0.9677,0.9698,0.9847,0.9274,0.9772,0.956
MONAI DenseNet 169,340,18,23,826,0.9933,0.966,0.9787,0.9729,0.9497,0.9758,0.9613
MONAI DenseNet 201,332,26,21,828,0.9942,0.9611,0.9696,0.9753,0.9274,0.9724,0.9513
MONAI EfficientNet B3,337,21,35,814,0.9908,0.9536,0.9749,0.9588,0.9413,0.9667,0.9501
ResNet 18,333,25,32,817,0.9919,0.9528,0.9703,0.9623,0.9302,0.9663,0.9462
MONAI EfficientNet B0,327,31,30,819,0.9887,0.9495,0.9635,0.9647,0.9134,0.9641,0.939
